model,stock,n_test,mape
cnn_single,AAPL,10,0.009147396666601186
cnn_multi,AAPL,10,0.008750121926816642
lstm_single,AAPL,10,0.009970505217794955
lstm_multi,AAPL,10,0.008497210499571573
gru_single,AAPL,10,0.00963238835902518
gru_multi,AAPL,10,0.009299705063043472
prophet,UAL,10,0.003051213524162617
ann_single,UAL,10,0.015082270164420477
ann_multi,UAL,10,0.003948999434790121
cnn_single,UAL,10,0.0048238053818100935
cnn_multi,UAL,10,0.0023439920278456607
lstm_single,UAL,10,0.0030574595388276346
lstm_multi,UAL,10,0.006747233680525483
gru_single,UAL,10,0.009391155213038328
gru_multi,UAL,10,0.003030375105110509
prophet,WMT,10,0.001976129095309677
ann_single,WMT,10,0.005802188949158551
ann_multi,WMT,10,0.0024919733685908147
cnn_single,WMT,10,0.005404345502024962
cnn_multi,WMT,10,0.0031036995960132233
lstm_single,WMT,10,0.002534299733460691
lstm_multi,WMT,10,0.003152777121327703
gru_single,WMT,10,0.0037169731531784774
gru_multi,WMT,10,0.003701921438477381
prophet,PFE,10,0.005783615266860015
ann_single,PFE,10,0.01252876922544521
ann_multi,PFE,10,0.008058100207837041
cnn_single,PFE,10,0.004171580896331822
cnn_multi,PFE,10,0.01121703208240563
lstm_single,PFE,10,0.010825820992032473
lstm_multi,PFE,10,0.01154733580784209
gru_single,PFE,10,0.014720896441875792
gru_multi,PFE,10,0.012506670177720672
prophet,MA,10,0.005601979911672551
ann_single,MA,10,0.004395468935937584
ann_multi,MA,10,0.0011345021907353315
cnn_single,MA,10,0.0021463075985802007
cnn_multi,MA,10,0.0010393257901364567
lstm_single,MA,10,0.0013536756688091655
lstm_multi,MA,10,0.001884921293405304
gru_single,MA,10,0.0013630269755972575
gru_multi,MA,10,0.002091919809707973
prophet,MCD,10,0.0009523961034694503
ann_single,MCD,10,0.00441170917522669
ann_multi,MCD,10,0.0036731177163288353
cnn_single,MCD,10,0.003967477408910345
cnn_multi,MCD,10,0.0032396239815794094
lstm_single,MCD,10,0.0049173426054693724
lstm_multi,MCD,10,0.004242776827943712
gru_single,MCD,10,0.0038071674786678902
gru_multi,MCD,10,0.003950073809989768
prophet,OXY,10,0.05980932597736137
ann_single,OXY,10,0.002660087873102324
ann_multi,OXY,10,0.0026468379963948767
cnn_single,OXY,10,0.008718071253422183
cnn_multi,OXY,10,0.0031083973962767555
lstm_single,OXY,10,0.0028542411360845035
lstm_multi,OXY,10,0.0027420645666967874
gru_single,OXY,10,0.002811070548985264
gru_multi,OXY,10,0.0025418275427279064
prophet,BA,10,0.042709398833780665
ann_single,BA,10,0.008161671186836045
ann_multi,BA,10,0.0051972590045771625
cnn_single,BA,10,0.0017468567334836035
cnn_multi,BA,10,0.004761668071129754
lstm_single,BA,10,0.00979722157494633
lstm_multi,BA,10,0.006733526948106039
gru_single,BA,10,0.009942680414328525
gru_multi,BA,10,0.006722373727957023
prophet,GE,10,0.006863659955096612
ann_single,GE,10,0.007991200706293859
ann_multi,GE,10,0.011953377429556013
cnn_single,GE,10,0.003422050072313215
cnn_multi,GE,10,0.00960205979270884
lstm_single,GE,10,0.012501603163290177
lstm_multi,GE,10,0.009318849315829306
gru_single,GE,10,0.009236694922041452
gru_multi,GE,10,0.010247051817155045
prophet,GM,10,0.019338865649949806
ann_single,GM,10,0.02238989719194455
ann_multi,GM,10,0.02455814639765346
cnn_single,GM,10,0.024000153632982732
cnn_multi,GM,10,0.025110929404211835
lstm_single,GM,10,0.02232991300063942
lstm_multi,GM,10,0.025277909794193636
gru_single,GM,10,0.03063465605889586
gru_multi,GM,10,0.025184981695098935
prophet,AAPL,20,0.019861475539453825
ann_single,AAPL,20,0.013428119405291991
ann_multi,AAPL,20,0.01707499804859227
cnn_single,AAPL,20,0.01406275422284076
cnn_multi,AAPL,20,0.01794112310449299
lstm_single,AAPL,20,0.0208000221809598
lstm_multi,AAPL,20,0.016886666398875743
gru_single,AAPL,20,0.01987742168617843
gru_multi,AAPL,20,0.017572044824251353
prophet,UAL,20,0.0158387364969436
ann_single,UAL,20,0.03478319204904075
ann_multi,UAL,20,0.024011128456278737
cnn_single,UAL,20,0.025418784916891153
cnn_multi,UAL,20,0.02155657061294378
lstm_single,UAL,20,0.02066357144967023
lstm_multi,UAL,20,0.021445480394677637
gru_single,UAL,20,0.01989596796897764
gru_multi,UAL,20,0.02456675715459079
prophet,WMT,20,0.00520224840203395
ann_single,WMT,20,0.006473962135852529
ann_multi,WMT,20,0.010159628047919486
cnn_single,WMT,20,0.003330692482099966
cnn_multi,WMT,20,0.01061150281170481
lstm_single,WMT,20,0.01075164690925997
lstm_multi,WMT,20,0.01037890619406587
gru_single,WMT,20,0.013671048162306059
gru_multi,WMT,20,0.009117711674681337
prophet,PFE,20,0.0065959208976857225
ann_single,PFE,20,0.004606837753609916
ann_multi,PFE,20,0.0047980440024341375
cnn_single,PFE,20,0.004827446444774503
cnn_multi,PFE,20,0.004220171942182943
lstm_single,PFE,20,0.0038292188568401888
lstm_multi,PFE,20,0.0034681690519380755
gru_single,PFE,20,0.004630244857006993
gru_multi,PFE,20,0.004549532897321247
prophet,MA,20,0.015287381012907914
ann_single,MA,20,0.007370767197752211
ann_multi,MA,20,0.0064766774809874835
cnn_single,MA,20,0.0070958129060074175
cnn_multi,MA,20,0.0062340538249750594
lstm_single,MA,20,0.004159398117733888
lstm_multi,MA,20,0.0053688103308199165
gru_single,MA,20,0.005587518944609146
gru_multi,MA,20,0.0053923526911769685
prophet,MCD,20,0.002478520561842327
ann_single,MCD,20,0.0015169100365675203
ann_multi,MCD,20,0.0028339590391065874
cnn_single,MCD,20,0.0016878484731685558
cnn_multi,MCD,20,0.0037741069516995423
lstm_single,MCD,20,0.004570108472874896
lstm_multi,MCD,20,0.0028701351460980163
gru_single,MCD,20,0.003986949979375216
gru_multi,MCD,20,0.0036408369629916102
prophet,OXY,20,0.06737789097405575
ann_single,OXY,20,0.028571926824667093
ann_multi,OXY,20,0.017924710564719816
cnn_single,OXY,20,0.01663639580231239
cnn_multi,OXY,20,0.017700700208886283
lstm_single,OXY,20,0.023219977457708665
lstm_multi,OXY,20,0.016429268811509155
